Name,Email,Phone,Contact Name,City,State,Venue Type,Website,Status,Notes
24 Oxford at Virgin Hotels,,(702) 693-5000,,Las Vegas,NV,Music Venue,https://virginhotelslv.com/venue/24-oxford,prospect,"4455 Paradise Rd (Virgin Hotels); capacity 323; named for Virgin Records' first London store; indie/rock/alternative live acts"
Pearl Concert Theater at Palms,,(702) 942-7777,,Las Vegas,NV,Theater/Music Venue,https://www.palms.com/entertainment/pearl-theater,prospect,"4321 W Flamingo Rd (Palms Casino Resort); 2500 capacity; 2025 Best of Las Vegas Live Venue Gold Winner; major concerts"
The Foundry at SLS Las Vegas,,(702) 761-7617,,Las Vegas,NV,Music Venue,https://slslasvegas.com,prospect,"2535 Las Vegas Blvd S (SLS/Sahara); capacity 2000; 3 bars; VIP booths; custom 25x65 ft stage"
Myron's at The Smith Center,,(702) 749-2000,,Las Vegas,NV,Cabaret/Theater,https://thesmithcenter.com,prospect,"361 Symphony Park Ave (Downtown); 244-seat intimate jazz cabaret; world-renowned jazz musicians"
Downtown Las Vegas Events Center,info@dlvec.com,(702) 388-2101,,Las Vegas,NV,Outdoor Music Venue,https://dlvec.com,prospect,"200 S 3rd St; 120000 sq ft outdoor; capacity 11000; major concerts and festivals; steps from Fremont Street"
Downtown Container Park,,(702) 359-9982,,Las Vegas,NV,Outdoor Venue,https://downtowncontainerpark.com,prospect,"707 Fremont St; free live concerts on main stage; regular live bands and cover acts; open-air entertainment complex"
Backstage Bar & Billiards,,(702) 690-9542,,Las Vegas,NV,Bar/Music Venue,https://www.601fremont.com,prospect,"601 E Fremont St (Fremont East); capacity 450; live concerts/comedy/burlesque; co-owned by DJ Lethal of Limp Bizkit; 21+"
Fremont Country Club,,(702) 690-9542,,Las Vegas,NV,Music Venue,https://www.601fremont.com,prospect,"601 Fremont St (Fremont East); capacity 800; 8300 sq ft; live shows 3-4 nights/week; blues/rock/indie; adjoins Backstage Bar"
The Griffin,,(702) 382-0577,,Las Vegas,NV,Bar,https://eastfremont.com/griffin-las-vegas,prospect,"511 Fremont St (Fremont East); regular live music in back room; cocktail bar; Best Weekday Gig Venue per LV Weekly"
Atomic Liquors,,(702) 982-3000,,Las Vegas,NV,Bar,https://atomic.vegas,prospect,"917 E Fremont St (Fremont East); oldest freestanding bar in Las Vegas est. 1952; 20 rotating taps; live music"
Don't Tell Mama,,(702) 207-0788,,Las Vegas,NV,Piano Bar,http://www.donttellmama.com,prospect,"450 Fremont St Ste 167 (Neonopolis/Downtown); live piano music nightly; open mic every night; Tue-Sun 8pm+"
Big Bang Dueling Piano Bar,,(702) 205-3813,,Las Vegas,NV,Piano Bar,https://thebigbangbar.com,prospect,"450 Fremont St (Downtown); all-request live dueling pianos Thu-Sat 9pm-1am"
Notoriety Live,,(702) 472-7514,,Las Vegas,NV,Music Venue/Event Space,https://www.notorietylive.com,prospect,"450 Fremont St Ste 380 (Neonopolis 3rd floor); multiple theaters 75-250 seats; live music and comedy; Thu-Sun"
Velveteen Rabbit,,(702) 685-9645,,Las Vegas,NV,Bar,https://velveteenrabbitlv.com,prospect,"1218 S Main St (Arts District); live original music Thu on outdoor patio stage; craft cocktails; eclectic decor"
SoulBelly BBQ,catering@soulbellybbq.com,(702) 483-4404,,Las Vegas,NV,Restaurant,https://soulbellybbq.com,prospect,"1327 S Main St (Arts District); live music brunch twice monthly 1-4pm; Blues Jam Society 2nd Saturday of month"
Hofbrauhaus Las Vegas,,(702) 853-2337,,Las Vegas,NV,Restaurant/Bar,https://www.hofbrauhauslasvegas.com,prospect,"4510 Paradise Rd; live Biermeister Band daily (Sun-Thu 5-10pm; Fri-Sat 6-11pm); rotating European Bavarian bands monthly"
Stoney's Rockin' Country,info@stoneys.com,(702) 435-2855,,Las Vegas,NV,Bar/Club,https://stoneysrockincountry.com,prospect,"6611 Las Vegas Blvd S Ste 160 (Town Square); live country music Fri nights from Nashville artists; 20000 sq ft; mechanical bull; Thu-Sun"
Bootlegger Italian Bistro,,(702) 736-4939,,Las Vegas,NV,Restaurant,https://www.bootleggerlasvegas.com,prospect,"7700 Las Vegas Blvd S; nightly live music Sun-Thu 6:30-9:30pm / Fri-Sat 6:30-10:30pm; Santa Fe & Fat City Horns on Mondays"
Casa Di Amore,,(702) 433-4967,,Las Vegas,NV,Restaurant,https://casadiamore.com,prospect,"2850 E Tropicana Ave; nightly live jazz/classic music 6-10pm (Sat until 1am); Italian cuisine; off-Strip lounge"
Rocks Lounge at Red Rock Casino,,(702) 797-7777,,Las Vegas,NV,Bar (Casino Lounge),https://redrockresort.com/eat-and-drink/rocks-lounge,prospect,"11011 W Charleston Blvd (Red Rock Casino Resort); live music nightly; free and ticketed events; VIP booths; locals casino"
Blue Martini Las Vegas,,(702) 949-2583,,Las Vegas,NV,Bar/Lounge,https://bluemartinilv.com,prospect,"6593 Las Vegas Blvd S (Town Square); local bands + DJs nightly; relocating to Planet Hollywood Spring 2026"
Roxy's Lounge at Sam's Town,,(702) 456-7777,,Las Vegas,NV,Bar (Casino Lounge),https://samstownlv.boydgaming.com/entertain/roxys-lounge,prospect,"5111 Boulder Hwy (Sam's Town Hotel); 100-seat intimate lounge; country/classic rock local acts; dance floor; Boulder Strip"
Mayfair Supper Club at Bellagio,,(866) 906-7171,,Las Vegas,NV,Restaurant/Supper Club,https://www.bellagio.com,prospect,"3600 S Las Vegas Blvd (Bellagio); live music + singers + dancers nightly; cabaret dinner show; Bellagio Fountains view; reservations required"
Dino's Lounge,,(702) 382-3894,,Las Vegas,NV,Bar,https://dinoslv.com,prospect,"1516 Las Vegas Blvd S; karaoke with live piano Thu-Sat 10pm; neighborhood dive bar; open 24 hours"
Gold Mine Tavern,,(702) 478-8289,,Henderson,NV,Bar/Music Venue,https://goldminetavern.com,prospect,"23 S Water St (Water Street District); live bands Fri-Sat; no cover; Henderson's oldest bar est. 1965; classic rock/blues/funk/country"
Hank's Fine Steaks & Martinis,,(702) 617-7075,,Henderson,NV,Restaurant (Casino),https://greenvalleyranch.com/eat-and-drink/hanks,prospect,"2300 Paseo Verde Pkwy (Green Valley Ranch Resort); nightly live piano bar entertainment; Four Diamond steakhouse"
Green Valley Ranch Grand Events Center,,(702) 617-7777,,Henderson,NV,Casino/Music Venue,https://greenvalleyranch.com/see-and-do/concerts-and-events,prospect,"2300 Paseo Verde Pkwy (Green Valley Ranch Resort); 2000-seat Grand Events Center; The Backyard poolside stage; rock/country/jazz/blues"
Sunset Station - Club Madrid,,(702) 547-7777,,Henderson,NV,Casino/Music Venue,https://sunsetstation.com/see-and-do/concerts-and-events,prospect,"1301 W Sunset Rd; Club Madrid capacity 500; intimate live bands; 5000-seat outdoor amphitheater; Gaudi Bar live entertainment Fri-Sat"
M Resort Spa Casino,,(702) 797-1000,,Henderson,NV,Casino/Venue,https://www.themresort.com/entertainment,prospect,"12300 Las Vegas Blvd S; M Pool + M Pavilion live concerts; Patio live music weekly"
RocknGrapes Wine Pub,,(702) 720-6151,,Henderson,NV,Bar/Restaurant,https://rockngrapes.com,prospect,"155 S Water St Ste 130 (Water Street District); live music Fri-Sat nights; family-owned wine pub; charcuterie"
Grey Witch,,(702) 659-6251,,Henderson,NV,Bar/Restaurant,https://www.greywitchlv.com,prospect,"722 W Sunset Rd; capacity 400; full music venue; award-winning Detroit pizza; regular live bands"
Juan's Flaming Fajitas & Cantina Henderson,,(702) 476-4647,,Henderson,NV,Restaurant,https://juansflamingfajitas.com,prospect,"16 S Water St (Water Street District); live music entertainment; Mexican cuisine; lively atmosphere"
Lexie's Bistro,,(702) 444-0391,,Henderson,NV,Restaurant,https://lexiesbistro.com,prospect,"3610 Sunridge Heights Pkwy Ste 100 (Seven Hills); live music Fri-Sat; Italian-American cuisine; gaming bar + patio"
Rustic Lounge,,(702) 566-3030,,Henderson,NV,Bar,https://www.facebook.com/p/Rustic-Lounge-100054422142398,prospect,"1817 N Boulder Hwy; live music Thu open mic 6:30-10pm; dive bar atmosphere"
Sunset Tavern Henderson,,(702) 202-3244,,Henderson,NV,Bar,https://sunsettavern015.com,prospect,"886 S Boulder Hwy; sports bar with live entertainment; Henderson"
Distill - A Local Bar Henderson,,(702) 307-0155,,Henderson,NV,Bar,https://www.distillbar.com,prospect,"1231 American Pacific Dr; local bar chain; trivia + live music events; open 24 hours"
